,stock_number,stock_id,stock_name,stock_pinyin,stock_abbr
511,600663,sh600663,陆家嘴,lujiazui,ljz
512,600664,sh600664,哈药股份,hayaogufen,hygf
513,600665,sh600665,天地源,tiandiyuan,tdy
514,600667,sh600667,太极实业,taijishiye,tjsy
515,600668,sh600668,尖峰集团,jianfengjituan,jfjt
517,600673,sh600673,东阳光,dongyangguang,dyg
518,600674,sh600674,川投能源,chuantounengyuan,ctny
519,600675,sh600675,中华企业,zhonghuaqiye,zhqy
520,600676,sh600676,交运股份,jiaoyungufen,jygf
522,600678,sh600678,四川金顶,sichuanjinding,scjd
523,600679,sh600679,上海凤凰,shanghaifenghuang,shfh
525,600681,sh600681,百川能源,baichuannengyuan,bcny
526,600683,sh600683,京投发展,jingtoufazhan,jtfz
527,600684,sh600684,珠江股份,zhujianggufen,zjgf
528,600686,sh600686,金龙汽车,jinlongqiche,jlqc
529,600687,sh600687,退市刚泰,tuishigangtai,tsgt
530,600688,sh600688,上海石化,shanghaishihua,shsh
